2,28,7,11,5,3,0,0,0,0,0,0,0,0,0,0
28,862,1164,769,649,768,344,120,54,22,14,6,6,2,0,0
7,1164,1790,1797,1661,2331,1390,478,272,143,126,54,27,27,3,0
11,769,1797,1702,1852,2755,1802,866,556,357,295,126,53,70,11,0
5,649,1661,1852,2034,2947,2086,1052,671,525,463,200,111,153,23,0
3,768,2331,2755,2947,5356,3900,2028,1373,1117,1172,626,321,426,46,1
0,344,1390,1802,2086,3900,3088,1793,1359,1056,1174,641,380,542,112,2
0,120,478,866,1052,2028,1793,1176,827,631,707,379,244,364,88,1
0,54,272,556,671,1373,1359,827,764,560,567,347,223,287,90,3
0,22,143,357,525,1117,1056,631,560,472,559,288,140,261,75,3
0,14,126,295,463,1172,1174,707,567,559,696,343,208,326,96,0
0,6,54,126,200,626,641,379,347,288,343,256,128,176,53,3
0,6,27,53,111,321,380,244,223,140,208,128,52,112,40,2
0,2,27,70,153,426,542,364,287,261,326,176,112,190,80,5
0,0,3,11,23,46,112,88,90,75,96,53,40,80,18,1
0,0,0,0,0,1,2,1,3,3,0,3,2,5,1,0
