0,0,0,2,8,0,3,1,1,0,0,1,0,0,0,0
0,8,40,49,157,168,139,118,72,39,9,27,7,1,0,0
0,40,574,254,220,214,160,210,170,145,36,81,22,2,0,0
2,49,254,1182,757,215,146,131,137,126,49,119,40,2,0,0
8,157,220,757,5770,2327,471,393,322,296,130,305,145,23,1,0
0,168,214,215,2327,9882,3234,772,405,298,112,234,142,21,1,0
3,139,160,146,471,3234,5576,3097,691,270,80,204,123,15,2,0
1,118,210,131,393,772,3097,5284,2864,918,153,236,138,18,0,0
1,72,170,137,322,405,691,2864,3920,2830,469,503,168,23,2,0
0,39,145,126,296,298,270,918,2830,4136,1469,2030,313,34,2,0
0,9,36,49,130,112,80,153,469,1469,848,1760,246,20,2,0
1,27,81,119,305,234,204,236,503,2030,1760,8982,3334,128,8,0
0,7,22,40,145,142,123,138,168,313,246,3334,8082,1235,57,1
0,1,2,2,23,21,15,18,23,34,20,128,1235,1358,240,5
0,0,0,0,1,1,2,0,2,2,2,8,57,240,128,14
0,0,0,0,0,0,0,0,0,0,0,0,1,5,14,6
