10,39,31,18,27,10,5,2,3,1,2,2,0,0,0,0
39,602,658,470,590,274,170,89,83,76,31,67,42,1,0,0
31,658,1210,1148,1546,732,441,285,337,191,77,285,175,11,1,0
18,470,1148,1282,2075,1147,717,446,525,335,112,445,302,46,0,0
27,590,1546,2075,4024,2452,1724,1223,1305,912,299,1231,962,184,18,1
10,274,732,1147,2452,1692,1286,928,1122,784,318,1068,903,179,36,0
5,170,441,717,1724,1286,1078,804,1021,714,292,1030,861,187,36,2
2,89,285,446,1223,928,804,688,943,662,245,941,734,145,36,3
3,83,337,525,1305,1122,1021,943,1250,893,361,1463,1204,273,54,3
1,76,191,335,912,784,714,662,893,678,320,1232,1173,329,60,0
2,31,77,112,299,318,292,245,361,320,124,553,535,153,24,1
2,67,285,445,1231,1068,1030,941,1463,1232,553,2294,2578,846,214,11
0,42,175,302,962,903,861,734,1204,1173,535,2578,3770,1625,539,27
0,1,11,46,184,179,187,145,273,329,153,846,1625,1014,454,25
0,0,1,0,18,36,36,36,54,60,24,214,539,454,440,73
0,0,0,0,1,0,2,3,3,0,1,11,27,25,73,16
