0,0,0,1,5,2,1,3,1,1,0,2,0,0,0,0
0,0,34,39,129,141,111,111,92,71,24,58,18,2,0,0
0,34,328,241,308,243,193,196,150,135,50,151,80,10,0,0
1,39,241,570,859,440,241,213,180,134,48,129,75,12,3,0
5,129,308,859,3214,2574,1083,835,674,565,206,483,281,42,8,0
2,141,243,440,2574,5822,3101,1794,1150,973,371,833,423,51,5,0
1,111,193,241,1083,3101,3128,2442,1259,913,285,837,421,82,7,0
3,111,196,213,835,1794,2442,3038,2185,1328,422,968,589,89,19,3
1,92,150,180,674,1150,1259,2185,2314,1896,537,1238,678,131,19,2
1,71,135,134,565,973,913,1328,1896,2428,962,2230,1012,163,21,0
0,24,50,48,206,371,285,422,537,962,434,1311,593,98,10,2
2,58,151,129,483,833,837,968,1238,2230,1311,5430,3523,525,58,2
0,18,80,75,281,423,421,589,678,1012,593,3523,4806,1175,154,9
0,2,10,12,42,51,82,89,131,163,98,525,1175,578,111,6
0,0,0,3,8,5,7,19,19,21,10,58,154,111,38,2
0,0,0,0,0,0,0,3,2,0,2,2,9,6,2,0
