32,81,25,5,7,2,0,0,1,0,0,0,0,0,0,0
81,1290,962,410,335,72,31,17,6,5,4,3,2,0,0,0
25,962,2238,1667,1442,448,193,83,66,39,12,32,13,0,0,0
5,410,1667,2186,2729,990,484,251,201,103,25,83,17,0,0,0
7,335,1442,2729,6000,3137,1824,973,975,514,141,481,180,9,0,0
2,72,448,990,3137,2578,1739,1134,1117,636,233,654,279,17,1,0
0,31,193,484,1824,1739,1624,1212,1167,749,226,787,399,19,2,0
0,17,83,251,973,1134,1212,1062,1231,751,276,813,397,36,2,0
1,6,66,201,975,1117,1167,1231,1914,1344,491,1535,781,76,4,0
0,5,39,103,514,636,749,751,1344,1146,426,1610,992,96,10,0
0,4,12,25,141,233,226,276,491,426,208,831,535,56,8,0
0,3,32,83,481,654,787,813,1535,1610,831,3572,3364,540,51,1
0,2,13,17,180,279,399,397,781,992,535,3364,6148,2096,322,10
0,0,0,0,9,17,19,36,76,96,56,540,2096,1900,630,15
0,0,0,0,0,1,2,2,4,10,8,51,322,630,872,92
0,0,0,0,0,0,0,0,0,0,0,1,10,15,92,44
